feature_id,gene_symbol,mapping_source_column,has_gene_symbol
7903281,SLC35A3,gene_assignment,True
7903292,,,False
7903294,HIAT1,gene_assignment,True
7903308,CCDC76,gene_assignment,True
7903321,RTCD1,gene_assignment,True
7903334,CDC14A,gene_assignment,True
7903355,GPR88,gene_assignment,True
7903358,VCAM1,gene_assignment,True
7903369,SLC30A7,gene_assignment,True
7903389,,,False
7903391,,,False
7903393,S1PR1,gene_assignment,True
7903401,HEJ1,gene_assignment,True
7903404,RNPC3,gene_assignment,True
7903407,AMY2B,gene_assignment,True
7903414,AMY2A,gene_assignment,True
7903425,AMY1A,gene_assignment,True
7903440,AMY1A,gene_assignment,True
7903457,PRMT6,gene_assignment,True
7903461,NTNG1,gene_assignment,True
7903474,,,False
7903478,NBPF4,gene_assignment,True
7903490,NBPF6,gene_assignment,True
7903507,FAM102B,gene_assignment,True
7903519,PRPF38B,gene_assignment,True
7903530,FNDC7,gene_assignment,True
7903541,STXBP3,gene_assignment,True
7903561,AY312144,gene_assignment,True
7903565,GPSM2,gene_assignment,True
7903582,RPL17,gene_assignment,True
7903586,TMEM167B,gene_assignment,True
7903592,KIAA1324,gene_assignment,True
7903619,SARS,gene_assignment,True
7903632,CELSR2,gene_assignment,True
7903667,SYPL2,gene_assignment,True
7903676,ATXN7L2,gene_assignment,True
7903688,CYB561D1,gene_assignment,True
7903694,GPR61,gene_assignment,True
7903703,GNAI3,gene_assignment,True
7903717,MIR197,gene_assignment,True
7903719,AMPD2,gene_assignment,True
7903742,GSTM4,gene_assignment,True
7903753,GSTM2,gene_assignment,True
7903765,GSTM1,gene_assignment,True
7903777,GSTM5,gene_assignment,True
7903786,CSF1,gene_assignment,True
7903803,AHCYL1,gene_assignment,True
7903827,FAM40A,gene_assignment,True
7903851,UBL4B,gene_assignment,True
7903854,SLC6A17,gene_assignment,True
7903867,KCNC4,gene_assignment,True
7903876,,,False
7903878,RBM15,gene_assignment,True
7903884,PROK1,gene_assignment,True
7903889,,,False
7903893,CD53,gene_assignment,True
7903908,CEPT1,gene_assignment,True
7903920,CHI3L2,gene_assignment,True
7903935,LOC149620,gene_assignment,True
7903945,CHIA,gene_assignment,True
7903959,C1ORF88,gene_assignment,True
7903970,,,False
7903972,ATP5F1,gene_assignment,True
7903980,C1ORF162,gene_assignment,True
7903988,RAP1A,gene_assignment,True
7904000,DDX20,gene_assignment,True
7904014,,,False
7904016,,,False
7904018,CTTNBP2NL,gene_assignment,True
7904025,WNT2B,gene_assignment,True
7904036,CAPZA1,gene_assignment,True
7904048,,,False
7904050,MOV10,gene_assignment,True
7904073,FAM19A3,gene_assignment,True
7904082,LOC128322,gene_assignment,True
7904084,AKR7A2P1,gene_assignment,True
7904086,LRIG2,gene_assignment,True
7904106,MAGI3,gene_assignment,True
7904131,DCLRE1B,gene_assignment,True
7904137,HIPK1,gene_assignment,True
7904158,OLFML3,gene_assignment,True
7904164,,,False
7904166,,,False
7904168,SYCP1,gene_assignment,True
7904203,TSHB,gene_assignment,True
7904209,,,False
