feature_id,missing_n,mean_expression,sd_expression
ADA,0,7.635970390475859,0.31950606532714276
ADAD1,0,5.870881768448277,0.134054750097221
ADAD2,0,6.183271878668967,0.21296638306454316
ADAL,0,7.342372579510346,0.30418307192162397
ADAM10,0,6.917856633620688,0.1877983144781162
ADAM11,0,6.29908507257241,0.3435034092477907
ADAM12,0,6.017291952751722,0.09957469265054048
ADAM15,0,9.323410035,0.3445309721006245
ADAM17,0,7.02843005276552,0.13863872115888318
ADAM18,0,6.038769523413789,0.13747999375604303
ADAM19,0,8.500696874006895,0.566113951887651
ADAM2,0,6.2536453067999975,0.16436250308394237
ADAM20,0,5.96651904731724,0.15518235242875983
ADAM21,0,6.616583296558618,0.17867528922826845
ADAM22,0,5.9715986103379315,0.08389951188003386
ADAM23,0,8.352382729889655,0.4026524500926143
ADAM28,0,6.078779395793103,0.0946113411729633
ADAM29,0,6.134104006324137,0.16419592093682037
ADAM30,0,6.026291794634481,0.13267600453265987
ADAM32,0,6.047536285731031,0.07289521165013335
ADAM33,0,6.325765105724139,0.09587189048199364
ADAM3A,0,5.943102095358624,0.08115700291093463
ADAM5,0,5.99895734517931,0.0829796468054912
ADAM5P,0,5.990754884875863,0.1502081762205447
ADAM6,0,6.115123004551724,0.107229074160327
ADAM7,0,6.260152608462067,0.13903686871022675
ADAM8,0,6.092398658372414,0.14297827330414184
ADAM9,0,7.1768406740482735,0.20295035940160114
ADAMDEC1,0,6.052274301144827,0.10508550986978785
ADAMTS1,0,8.664461804268967,0.5639917462671574
ADAMTS10,0,6.1407942508275895,0.13841735198813
ADAMTS12,0,5.987314445620692,0.13463204143298868
ADAMTS13,0,6.121428648572416,0.10007524353684495
ADAMTS14,0,6.066377290662073,0.08250576883252404
ADAMTS15,0,6.1196319078896595,0.15154671391169622
ADAMTS16,0,6.145873901993104,0.13753058140116656
ADAMTS17,0,6.282906191765517,0.147902349139962
ADAMTS18,0,6.090231265606895,0.11145656811951787
ADAMTS19,0,6.32497962184138,0.15907603835889855
ADAMTS2,0,6.130845623917242,0.11186026689954892
ADAMTS20,0,5.996441041013792,0.0788578541403729
ADAMTS3,0,6.013181342848278,0.21388146902752012
ADAMTS4,0,6.272081316986206,0.18697050358755757
ADAMTS5,0,6.400397879510342,0.31766718976793595
ADAMTS6,0,6.255052583255171,0.15835306069262062
ADAMTS7,0,6.251813857041377,0.22785744564793553
ADAMTS8,0,6.173742182296555,0.2674861601387991
