gene_symbol,MCI,primary_tier_normalized,primary_rank,held_out_cohort,remaining_cohorts,n_remaining_cohorts,loo_D_g,loo_S_g,loo_R_g,loo_MCI,loo_tier_normalized,loo_rank,MCI_change,absolute_MCI_change,rank_change,absolute_rank_change,tier_match
LMNA,0.3999888656354379,UNSTABLE,30.0,GSE249925,GSE141910;GSE36961,2,0.0,0.0,0.5,0.125,UNSTABLE,30.0,-0.2749888656354379,0.2749888656354379,0.0,0.0,True
MYL2,0.3921424779050579,UNSTABLE,31.0,GSE249925,GSE141910;GSE36961,2,0.0,0.0,0.5,0.125,UNSTABLE,30.0,-0.2671424779050579,0.2671424779050579,-1.0,1.0,True
MRPL44,0.3858025289641727,UNSTABLE,32.0,GSE249925,GSE141910;GSE36961,2,0.0,0.0,0.5,0.125,UNSTABLE,30.0,-0.2608025289641727,0.2608025289641727,-2.0,2.0,True
PKP2,0.3,UNSTABLE,33.0,GSE249925,GSE141910;GSE36961,2,0.0,0.0,0.5,0.125,UNSTABLE,30.0,-0.175,0.175,-3.0,3.0,True
MYH7,0.292774455340535,UNSTABLE,34.0,GSE249925,GSE141910;GSE36961,2,0.0,0.0,0.0,0.0,UNSTABLE,40.5,-0.292774455340535,0.292774455340535,6.5,6.5,True
TCAP,0.2731064436543995,UNSTABLE,35.0,GSE249925,GSE141910;GSE36961,2,0.0,0.0,0.5,0.125,UNSTABLE,30.0,-0.1481064436543995,0.1481064436543995,-5.0,5.0,True
ACTC1,0.2166666666666666,UNSTABLE,37.5,GSE249925,GSE141910;GSE36961,2,1.0,0.9519296969543385,0.0,0.7331753939340184,HIGH,13.0,0.5165087272673519,0.5165087272673519,-24.5,24.5,False
COQ9,0.2166666666666666,UNSTABLE,37.5,GSE249925,GSE141910;GSE36961,2,0.0,0.0,0.5,0.125,UNSTABLE,30.0,-0.09166666666666659,0.09166666666666659,-7.5,7.5,True
MTO1,0.2166666666666666,UNSTABLE,37.5,GSE249925,GSE141910;GSE36961,2,0.0,0.0,0.5,0.125,UNSTABLE,30.0,-0.09166666666666659,0.09166666666666659,-7.5,7.5,True
NEXN,0.2166666666666666,UNSTABLE,37.5,GSE249925,GSE141910;GSE36961,2,0.0,0.0,0.5,0.125,UNSTABLE,30.0,-0.09166666666666659,0.09166666666666659,-7.5,7.5,True
