dataset,contrast,gene_symbol,log2FC,SE,t_stat,p_value,FDR,mean_DCM_HF,mean_Control,n_DCM_HF,n_Control,abs_log2FC,direction
GSE57338,DCM_HF_vs_Control,MT1E,-0.0932924016100869,0.05320518697832698,-1.7534456113853965,0.0805106785226156,0.13130579597954295,8.055855803316382,8.149148204926469,177,136,0.0932924016100869,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,ZNF428,0.03598092728277669,0.020523097781166268,1.753191826420855,0.08055429599265801,0.13136645558611293,4.417601897525425,4.381620970242648,177,136,0.03598092728277669,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,BTK,-0.07062608066791287,0.04028989250731745,-1.7529478554723312,0.08059624492793609,0.1314243847202211,3.7264912054350297,3.797117286102942,177,136,0.07062608066791287,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,GJD3,0.0417002175265031,0.023795633020399613,1.7524315276989764,0.08068508232123839,0.13155875725317534,5.565786657570617,5.524086440044117,177,136,0.0417002175265031,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,GLIS2,-0.05190643146007856,0.029621538480190154,-1.752320578986529,0.08070418216075059,0.13157940884854896,6.09729256920904,6.149199000669118,177,136,0.05190643146007856,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,OR1A2,0.03289483293652351,0.01877268282684374,1.7522712784283552,0.0807126704439863,0.13158275753982143,3.2202539221129944,3.187359089176471,177,136,0.03289483293652351,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,TBCB,0.04256357368245256,0.024300866711820548,1.751524922432029,0.08084126269422852,0.13178189096030077,8.389902132711864,8.34733855902941,177,136,0.04256357368245256,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,DHX36,-0.03874236486419935,0.022125656522162737,-1.7510153800585333,0.08092914948414559,0.13191464267103278,7.559209006451976,7.597951371316177,177,136,0.03874236486419935,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,KSR2,-0.034092796139373105,0.019473732281617397,-1.750706831456015,0.08098240638590619,0.1319909309469819,4.295152028706213,4.329244824845587,177,136,0.034092796139373105,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,CLTC,-0.02970284487853103,0.016968436503641677,-1.7504762369919211,0.08102222671134739,0.13204530891353633,9.251342765621471,9.281045610499998,177,136,0.02970284487853103,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,PDIA3P,-0.05315330514726435,0.030368095482221708,-1.7503009096629623,0.08105251389049085,0.13208414288473488,8.725563039683623,8.778716344830881,177,136,0.05315330514726435,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,LCP2,-0.10299059526138299,0.05884907486119881,-1.7500801075343357,0.08109066981968822,0.13213579265439238,6.168968739062146,6.2719593343235305,177,136,0.10299059526138299,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,KLC3,-0.03230450426944165,0.018461204973381676,-1.7498589239445617,0.08112890635588249,0.13218756553085784,4.886062722186442,4.918367226455881,177,136,0.03230450426944165,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,SNRPD3,0.036887644428838406,0.021081705317874806,1.7497467056216758,0.0811483114283322,0.13220864951477004,6.951853846406782,6.914966201977942,177,136,0.036887644428838406,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,MAPKAPK5,-0.027453929909313946,0.015690939015659194,-1.7496677465839081,0.08116196749107554,0.1322203644700466,8.036857059333332,8.06431098924265,177,136,0.027453929909313946,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,FAM57A,-0.0697156277395723,0.03985019509057819,-1.7494425706351238,0.08120092224364892,0.1322731369146323,5.660954916282485,5.730670544022055,177,136,0.0697156277395723,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,MECP2,0.032791604591516865,0.018744425082448737,1.7494057271578387,0.08120729750431338,0.1322731369146323,7.785877628598863,7.75308602400735,177,136,0.032791604591516865,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,CDX1,-0.03451307354199873,0.019729306708715897,-1.7493302755920839,0.08122035464156935,0.1322838684628937,5.096568570627119,5.131081644169119,177,136,0.03451307354199873,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,GNG8,-0.04790091444105182,0.027383205075705,-1.7492807839192863,0.0812289202653577,0.13228728354117744,4.73116662638983,4.7790675408308845,177,136,0.04790091444105182,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,AF289593,0.04265559447524092,0.02439017144257511,1.748884569166331,0.08129752051472773,0.1323884611025786,4.759473560887004,4.716817966411766,177,136,0.04265559447524092,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,CDK19,0.04537552385547494,0.025946289625576123,1.7488251503500822,0.08130781230552508,0.13239467805143626,6.195322935259887,6.149947411404415,177,136,0.04537552385547494,up_in_DCM_HF
