gene_symbol,log2FC,FDR,SE,p_value,stratum,disease_group,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,cohort,arm,selected_source_file,matched_in_DE,score_eligible,direction
MYH6,-1.9145469108563165,1.0223913546866435e-35,0.1047134881254452,2.9715967081205617e-39,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
MYO6,0.0258103475096748,0.6846321946557261,0.0291719790443479,0.3777686042630678,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
NEXN,0.3248147542428604,7.321173813635676e-08,0.0519279528495857,4.335134628853129e-09,,HCM,ClinVar_PLP_review2plus,False,True,3,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
PKP2,0.4905676749051761,1.9796343058738784e-08,0.0750894483065092,1.0539527253601543e-09,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
PMS2,0.0857001938338157,0.0001046892457475,0.018820772351036,1.119753915304287e-05,,HCM,ClinVar_PLP_review2plus,False,True,1,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
PRKAG2,-0.0303398149368659,0.8235884547424198,0.0537085841023685,0.5730289742119707,,HCM,ClinVar_PLP_review2plus,False,True,6,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
PTPN11,0.5983060585041104,1.0519159325724516e-18,0.0543847409033242,8.866490051540772e-21,,HCM,ClinVar_PLP_review2plus,False,True,2,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
RAF1,-0.0552066606163541,0.3623150169647331,0.0361539647726144,0.1289728877172986,,HCM,ClinVar_PLP_review2plus,False,True,2,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
RPL36A-HNRNPH2,,,,,,HCM,ClinVar_PLP_review2plus,False,True,8,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,False,False,
SLC25A4,-0.0213926162312549,0.8391866596880767,0.0408512181216455,0.6013177072638073,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
SSUH2,,,,,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,False,False,
TCAP,-0.3958408204354153,0.0002633843335537,0.0919203631958087,3.065602677440574e-05,,HCM,ClinVar_PLP_review2plus,False,True,7,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
TINF2,-0.4407610905193525,3.645971157622413e-10,0.0599765552662587,1.4065206072316027e-11,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
TMEM43,-0.5821798805532185,3.0588594203661688e-12,0.0703949117023426,8.405680381495575e-14,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
TNNC1,0.1481542853676785,0.0197426142010275,0.0501163521849164,0.0036442927339316,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
TRIM63,-0.2034765871615884,0.2066365594253865,0.1069608853661458,0.0591365157516345,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
TTN,0.0245110130324128,0.8943587158326973,0.065988221605729,0.7108556822283563,,HCM,ClinVar_PLP_review2plus,False,True,115,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,
ACTC1,0.2628886150655369,0.0075797885381488,0.0871655862463068,0.003137570751511,DCM_TTN_related,DCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,5,3.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,
