gene_symbol,cohort,log2FC,FDR,p_value,SE,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,matched_in_DE,selected_source_file,direction,score_eligible,abs_log2FC
RNF220,GSE57338_DCM_HF,-0.1547150983373617,1.912024535214917e-16,1.2079881171137768e-17,0.0170230897726994,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.1547150983373617
SCN5A,GSE141910_DCM,-0.3947713360718916,1.6534296006727982e-08,3.706440254303522e-09,0.0651396742119188,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,28,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.3947713360718916
SCN5A,GSE57338_DCM_HF,-0.1188111577976474,0.0506545553149232,0.0270884213654768,0.0535005741291682,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,28,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.1188111577976474
SCO2,GSE141910_DCM,,,,,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,False,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,ZERO,False,
SCO2,GSE57338_DCM_HF,-0.0580360978160516,0.027742196165253,0.0136269124929079,0.0233914783803051,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.0580360978160516
SDHA,GSE141910_DCM,0.0873517751609931,0.1572786194657291,0.1172814423229293,0.0556240635363635,DCM,,ClinVar_PLP_review2plus,False,True,41,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.0873517751609931
SDHA,GSE57338_DCM_HF,0.1824976271810001,2.1421044128663265e-05,5.773730818444592e-06,0.0395503329802896,DCM,,ClinVar_PLP_review2plus,False,True,41,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.1824976271810001
SGCB,GSE141910_DCM,-0.198080786273481,0.0002846260790684,0.0001188747822263,0.0508548019039987,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.198080786273481
SGCB,GSE57338_DCM_HF,0.0711683760102204,0.0398327314591966,0.0205338217624866,0.0305658781914299,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.0711683760102204
SGCD,GSE141910_DCM,-0.2393044165890536,0.00178535945848,0.0008640858179647,0.071175065046532,DCM,,ClinVar_PLP_review2plus,False,True,12,3.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.2393044165890536
SGCD,GSE57338_DCM_HF,0.1642671552024355,0.0016874719897758,0.0006305946672795,0.0475685085326204,DCM,,ClinVar_PLP_review2plus,False,True,12,3.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.1642671552024355
TAB2,GSE141910_DCM,-0.473131043440576,2.8220091595067293e-18,2.1325505397017849e-19,0.0492993928257121,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.473131043440576
TAB2,GSE57338_DCM_HF,-0.1596886160714108,2.665059611973805e-15,1.965237112399265e-16,0.0183551951255274,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,True,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,DOWN,True,0.1596886160714108
TARID,GSE141910_DCM,0.6525448560371148,3.634157629617123e-07,9.728777190289237e-08,0.1196691613049985,DCM,,ClinVar_PLP_review2plus,False,True,4,2.0,True,results/differential_expression/GSE141910/GSE141910_DCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,UP,True,0.6525448560371148
TARID,GSE57338_DCM_HF,,,,,DCM,,ClinVar_PLP_review2plus,False,True,4,2.0,False,results/differential_expression/GSE57338/GSE57338_DCM_HF_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,ZERO,False,
