gene_symbol,log2FC,FDR,SE,p_value,stratum,disease_group,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,cohort,arm,selected_source_file,matched_in_DE,score_eligible,direction,abs_log2FC_calc
MYBPC3,0.0294086837429178,0.8794993803156718,0.1261653184159761,0.8159348488587297,HCM_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,458,3.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,up_in_HCM,0.0294086837429178
MYBPC3,0.0773712582059218,0.698704809303921,0.1572773813511198,0.6236746903790067,HCM_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,458,3.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.0773712582059218
MYBPC3,-0.0496806247194024,0.7641241370819705,0.0698394857862955,0.4780234205580391,HCM_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,458,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.0496806247194024
MYH6,-2.743184915210445,1.499044514363099e-20,0.2424555387314312,4.534461881074572e-23,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,down_in_HCM,2.743184915210445
MYH6,-2.590261720531984,1.3348183553712822e-25,0.1775291126706898,3.458078640858244e-28,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,2.590261720531984
MYH6,-1.9145469108563165,1.0223913546866435e-35,0.1047134881254452,2.9715967081205617e-39,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,1.9145469108563165
MYH7,0.175544686156766,0.2279177495815735,0.1130045993252432,0.1219673280994247,HCM_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,135,3.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,up_in_HCM,0.175544686156766
MYH7,0.630645313784695,3.624606772096488e-05,0.1346202073872552,7.570556940143945e-06,HCM_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,135,3.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.630645313784695
MYH7,-0.0994236668916344,0.571103938527216,0.0892908312197878,0.2673699372859028,HCM_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,135,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.0994236668916344
MYL2,0.2445964654030378,0.03084385669066,0.0941446299514027,0.0101013505707055,HCM_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,7,3.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,up_in_HCM,0.2445964654030378
MYL2,0.633444464042233,8.171591169210441e-11,0.0821530264518608,4.373396765020374e-12,HCM_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,7,3.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.633444464042233
MYL2,-0.1154626826124831,0.3611602594849291,0.0755023394094007,0.1284091436777785,HCM_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,7,3.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.1154626826124831
MYL3,-0.0669129119350639,0.7259593040204741,0.1301115308599698,0.6076522106142315,HCM_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,3,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,down_in_HCM,0.0669129119350639
MYL3,-0.6203883311351372,2.143243221901844e-05,0.128495183468001,4.17245821223277e-06,HCM_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,3,2.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.6203883311351372
MYL3,-0.2250993914973426,0.0002965466729164,0.0526831484711351,3.50565400472539e-05,HCM_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,3,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.2250993914973426
MYO6,-0.0603474456040541,0.6450664126415696,0.0914961332247167,0.5103247814804963,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,down_in_HCM,0.0603474456040541
MYO6,0.0361433530825707,0.7923982611090021,0.1059743856706811,0.7336668596000384,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.0361433530825707
MYO6,0.0258103475096748,0.6846321946557261,0.0291719790443479,0.3777686042630678,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.0258103475096748
NEXN,-0.2083352623915912,0.1242883878288603,0.1083915963405436,0.0560784801779544,,HCM,ClinVar_PLP_review2plus,False,True,3,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,down_in_HCM,0.2083352623915912
NEXN,0.2530575564911199,0.1544532380259549,0.1533343262627101,0.1015276781994193,,HCM,ClinVar_PLP_review2plus,False,True,3,2.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.2530575564911199
NEXN,0.3248147542428604,7.321173813635676e-08,0.0519279528495857,4.335134628853129e-09,,HCM,ClinVar_PLP_review2plus,False,True,3,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.3248147542428604
PKP2,-0.3178644496181332,0.0683013153418161,0.1423975911010196,0.0267553145821234,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,down_in_HCM,0.3178644496181332
PKP2,0.4253288486878763,0.0003004245388877,0.1040969232356244,8.039289284655209e-05,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.4253288486878763
PKP2,0.4905676749051761,1.9796343058738784e-08,0.0750894483065092,1.0539527253601543e-09,,HCM,ClinVar_PLP_review2plus,False,True,1,2.0,GSE36961,HCM_vs_Control,GSE36961_disease_only_DE_locked_MCI_target_genes.csv,True,True,,0.4905676749051761
PLN,-0.1218955742620339,0.3959073490821001,0.1068435604452356,0.2553413141057784,HCM_non_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,2.0,GSE141910,HCM_vs_Control,GSE141910_HCM_vs_Control_disease_only_DE_locked_MCI_target_genes.csv,True,True,down_in_HCM,0.1218955742620339
PLN,0.590576844046081,0.0008939340085854,0.1573990568685179,0.0002734446187009,HCM_non_sarcomeric,HCM,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,2.0,GSE249925,HCM_vs_Control,GSE249925_disease_only_log2CPM_DE_locked_MCI_target_genes.csv,True,True,,0.590576844046081
