gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,max_n_plp_variants,max_review_weight,n_hcm_cohorts_available,cohorts_available,mean_log2FC,sd_log2FC,min_FDR,n_FDR_lt_0_05,D_g_direction_agreement,S_g_effect_size_consistency,R_g_statistical_reproducibility,MCI,MCI_tier,GSE141910_log2FC,GSE141910_FDR,GSE141910_SE,GSE141910_p_value,GSE249925_log2FC,GSE249925_FDR,GSE249925_SE,GSE249925_p_value,GSE36961_log2FC,GSE36961_FDR,GSE36961_SE,GSE36961_p_value
MYL2,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,7,3.0,3,GSE141910|GSE249925|GSE36961,0.2541927489442626,0.37454578501296715,8.171591169210441e-11,2,0.3333333333333333,0.2632642225858798,0.6666666666666666,0.3921424779050579,UNSTABLE,0.2445964654030378,0.03084385669066,0.0941446299514027,0.0101013505707055,0.633444464042233,8.171591169210441e-11,0.0821530264518608,4.373396765020374e-12,-0.1154626826124831,0.3611602594849291,0.0755023394094007,0.1284091436777785
MRPL44,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,0.0739280732903633,0.1116092000106587,0.0087221468856378,2,0.3333333333333333,0.24515008275477923,0.6666666666666666,0.3858025289641727,UNSTABLE,-0.0549470524501667,0.4642955978531,0.0549573195951555,0.3186593132567109,0.1384881148981819,0.0158603611840196,0.0507010463146916,0.0072737584654122,0.1382431574230747,0.0087221468856378,0.042590850866758,0.0014586077165143
PKP2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,3,GSE141910|GSE249925|GSE36961,0.1993440246583064,0.4491018598370247,1.9796343058738784e-08,2,0.3333333333333333,0.0,0.6666666666666666,0.3,UNSTABLE,-0.3178644496181332,0.0683013153418161,0.1423975911010196,0.0267553145821234,0.4253288486878763,0.0003004245388877,0.1040969232356244,8.039289284655209e-05,0.4905676749051761,1.9796343058738784e-08,0.0750894483065092,1.0539527253601543e-09
MYH7,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,135,3.0,3,GSE141910|GSE249925|GSE36961,0.23558877768327555,0.3687196073331015,3.624606772096488e-05,1,0.3333333333333333,0.2174508247824809,0.3333333333333333,0.292774455340535,UNSTABLE,0.175544686156766,0.2279177495815735,0.1130045993252432,0.1219673280994247,0.630645313784695,3.624606772096488e-05,0.1346202073872552,7.570556940143945e-06,-0.0994236668916344,0.571103938527216,0.0892908312197878,0.2673699372859028
TCAP,HCM,,ClinVar_PLP_review2plus,False,True,7,2.0,3,GSE141910|GSE249925|GSE36961,-0.15830896920204773,0.2655612360216872,0.0002633843335537,1,0.3333333333333333,0.16125650567923688,0.3333333333333333,0.27310644365439957,UNSTABLE,0.1284055640736555,0.6144006434016914,0.1791698252052087,0.4744488520537233,-0.2074916512443834,0.2874654271256884,0.1651479742447572,0.2114531974465355,-0.3958408204354153,0.0002633843335537,0.0919203631958087,3.065602677440574e-05
ACTC1,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,5,3.0,3,GSE141910|GSE249925|GSE36961,0.060467316647778435,0.17532386697691157,0.0075797885381488,1,0.3333333333333333,0.0,0.3333333333333333,0.21666666666666667,UNSTABLE,-0.043513132533908,0.731318077032931,0.0862643551427661,0.6145473626317348,0.2628886150655369,0.0075797885381488,0.0871655862463068,0.003137570751511,-0.0379735325882936,0.8120481730950254,0.0637474719892316,0.5523260537857642
COQ9,HCM,,ClinVar_PLP_review2plus,False,True,6,2.0,3,GSE141910|GSE249925|GSE36961,-0.026583918028694264,0.2309963018249076,0.0080675917319001,1,0.3333333333333333,0.0,0.3333333333333333,0.21666666666666667,UNSTABLE,-0.2858347422931078,0.0080675917319001,0.0913082042187028,0.0020180963274687,0.0487179352597619,0.6164609551848028,0.0776989860839898,0.5318648628011146,0.1573650529472631,0.095635512033738,0.0683337036682209,0.0227275219370987
MTO1,HCM,,ClinVar_PLP_review2plus,False,True,13,2.0,3,GSE141910|GSE249925|GSE36961,-0.04789477930583247,0.13411550628848903,0.0032713764106017,1,0.3333333333333333,0.0,0.3333333333333333,0.21666666666666667,UNSTABLE,-0.2021744104116211,0.0032713764106017,0.0586522778882017,0.0006964022273095,0.0176125130292008,0.8268441386415861,0.0622373344079226,0.7776807155111847,0.0408775594649229,0.5195181347897215,0.0336495320769856,0.226443247674556
NEXN,HCM,,ClinVar_PLP_review2plus,False,True,3,2.0,3,GSE141910|GSE249925|GSE36961,0.1231790161141297,0.2893329595762849,7.321173813635676e-08,1,0.3333333333333333,0.0,0.3333333333333333,0.21666666666666667,UNSTABLE,-0.2083352623915912,0.1242883878288603,0.1083915963405436,0.0560784801779544,0.2530575564911199,0.1544532380259549,0.1533343262627101,0.1015276781994193,0.3248147542428604,7.321173813635676e-08,0.0519279528495857,4.335134628853129e-09
TNNT2,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,27,3.0,3,GSE141910|GSE249925|GSE36961,-0.048889459351539065,0.07516763628662797,0.233846544386933,0,0.3333333333333333,0.23124905364430404,0.0,0.21427050210883974,UNSTABLE,-0.0926914436942204,0.3882794349482314,0.080215638487974,0.2493100871403676,-0.0918823279888405,0.233846544386933,0.0658336304734708,0.1654332055450589,0.0379053936284437,0.7042390838481823,0.0448157986456867,0.3990750077829658
