feature_id,gene_symbol,cohort,disease,comparison,model,n_hcm,n_control,mean_expression_hcm,mean_expression_control,log2FC,SE,t_stat,p_value,FDR,abs_log2FC
MNS1,MNS1,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.9763758024056575,6.50517203605128,0.4712037663543768,0.034433078152366604,13.684625123240417,8.95234959544793e-28,3.8943749745899125e-25,0.4712037663543768
TUBB2C,TUBB2C,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,10.215714636679243,11.177161170512822,-0.9614465338335776,0.07040397325543496,-13.656140262784913,1.0607900665715792e-27,4.562120552212271e-25,0.9614465338335776
LOC653879,LOC653879,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.771337735952829,7.905192078282051,-1.1338543423292227,0.0831393203246621,-13.638003509067428,1.1818489235253875e-27,5.025646557274361e-25,1.1338543423292227
SLC15A3,SLC15A3,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.054001419377359,8.948328357564101,-0.8943269381867467,0.0657893829801252,-13.59378820222285,1.53820695421754e-27,6.468331154368558e-25,0.8943269381867467
ZGPAT,ZGPAT,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.044782924820751,7.462224801897433,-0.41744187707668223,0.030713586271511925,-13.591440393396072,1.5598886448977619e-27,6.487422599428648e-25,0.41744187707668223
C1QC,C1QC,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.852365647820755,9.183022271871796,-1.3306566240510418,0.09797911214923521,-13.581023494316574,1.6598400518881234e-27,6.828076804756296e-25,1.3306566240510418
NNMT,NNMT,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.730123373905661,8.637614600230771,-0.9074912263251111,0.0668595901603212,-13.57308987609791,1.7402465695031855e-27,7.081867921442749e-25,0.9074912263251111
RHBDF2,RHBDF2,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.832128135566039,7.415011245358974,-0.5828831097929374,0.04296945205933324,-13.565058008840294,1.82562436398573e-27,7.350274433979141e-25,0.5828831097929374
CYBA,CYBA,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.871805716509433,9.855602588128205,-0.9837968716187737,0.07253719267308757,-13.56265434826757,1.851981572301466e-27,7.377904693191714e-25,0.9837968716187737
MT2A,MT2A,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,10.003940547188686,11.750924072897435,-1.7469835257087583,0.1288360220990243,-13.559744373091664,1.884401333963675e-27,7.428859675540547e-25,1.7469835257087583
