gene_symbol,disease_group,n_plp_variants,max_review_weight,review_status_examples,condition_examples
SCN5A,DCM,28,2,"criteria_provided,_multiple_submitters,_no_conflicts","Atrial_fibrillation,_familial,_10|Brugada_syndrome_1|SUDDEN_INFANT_DEATH_SYNDROME|Long_QT_syndrome_3|Ventricular_fibrillation,_paroxysmal_familial,_type_1|Dilated_cardiomyopathy_1E|Progressive_familial_heart_block,_type_1A|Sick_sinus_syndrome_1|Cardiovascular_phenotype|Familial_isolated_arrhythmogenic_right_ventricular_dysplasia|not_provided|Brugada_syndrome|SCN5A-related_disorder|Cardiac_arrhythmia | Brugada_syndrome_1|Progressive_familial_heart_block,_type_1A|Ventricular_fibrillation,_paroxysmal_familial,_type_1|Atrial_fibrillation,_familial,_10|Dilated_cardiomyopathy_1E|Long_QT_syndrome_3|Sick_sinus_syndrome_1|SUDDEN_INFANT_DEATH_SYNDROME|not_provided | Brugada_syndrome_1|SUDDEN_INFANT_DEATH_SYNDROME|Cardiovascular_phenotype|Sick_sinus_syndrome_1|Ventricular_fibrillation,_paroxysmal_familial,_type_1|Dilated_cardiomyopathy_1E|Atrial_fibrillation,_familial,_10|Long_QT_syndrome_3|Progressive_familial_heart_block,_type_1A|Cardiac_arrhythmia|not_provided|Brugada_syndrome"
SCO2,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardioencephalomyopathy,_fatal_infantile,_due_to_cytochrome_c_oxidase_deficiency_1|Myopia_6|not_provided|Primary_dilated_cardiomyopathy"
SDHA,DCM,41,2,"criteria_provided,_multiple_submitters,_no_conflicts","Dilated_cardiomyopathy_1GG|Hereditary_cancer-predisposing_syndrome|Pheochromocytoma/paraganglioma_syndrome_5|Mitochondrial_complex_II_deficiency,_nuclear_type_1 | Dilated_cardiomyopathy_1GG|Mitochondrial_complex_II_deficiency,_nuclear_type_1|Neurodegeneration_with_ataxia_and_late-onset_optic_atrophy|Pheochromocytoma/paraganglioma_syndrome_5|Hereditary_cancer-predisposing_syndrome|not_provided | Dilated_cardiomyopathy_1GG|Mitochondrial_complex_II_deficiency,_nuclear_type_1|Pheochromocytoma/paraganglioma_syndrome_5"
SGCB,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts",not_provided|Primary_dilated_cardiomyopathy|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2E
SGCD,DCM,12,3,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel",Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2F|Dilated_cardiomyopathy_1L | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2F|Dilated_cardiomyopathy_1L|Autosomal_recessive_limb-girdle_muscular_dystrophy|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy|not_provided|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2F|Dilated_cardiomyopathy_1L
TAB2,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Congenital_heart_defects,_multiple_types,_2|Primary_dilated_cardiomyopathy|not_provided"
TARID,DCM,4,2,"criteria_provided,_multiple_submitters,_no_conflicts",Dilated_cardiomyopathy_1J|Autosomal_dominant_nonsyndromic_hearing_loss_10|not_provided|Monogenic_hearing_loss | Dilated_cardiomyopathy_1J|EYA4-related_disorder | Rare_genetic_deafness|EYA4-related_disorder|Cardiovascular_phenotype|Dilated_cardiomyopathy_1J
TNNT2,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts",not_provided|Primary_dilated_cardiomyopathy
TSFM,DCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts",not_provided|Primary_dilated_cardiomyopathy|Fatal_mitochondrial_disease_due_to_combined_oxidative_phosphorylation_defect_type_3
TTN,DCM,1111,2,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Autosomal_dominant_and_autosomal_recessive_TTN-related_disorders|Restrictive_cardiomyopathy|Autosomal_recessive_titinopathy|Primary_dilated_cardiomyopathy|Myocarditis|Dilated_cardiomyopathy_1G|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Autosomal_recessive_titinopathy
TTN-AS1,DCM,919,2,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Autosomal_recessive_titinopathy|Cardiovascular_phenotype|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Cardiomyopathy
ALPK3,HCM,7,2,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy,_familial_hypertrophic_27|Cardiovascular_phenotype|not_provided|Primary_familial_hypertrophic_cardiomyopathy | Cardiomyopathy,_familial_hypertrophic_27|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy"
CACNA1C,HCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Long_QT_syndrome_8|Cardiac_arrhythmia|Long_QT_syndrome|not_provided|Hypertrophic_cardiomyopathy_1|Timothy_syndrome
CASR,HCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts","Autosomal_dominant_hypocalcemia_1|Familial_hypocalciuric_hypercalcemia|Hypertrophic_cardiomyopathy|Hypercalcemia|Hypocalciuria|Parathyroid_gland_adenoma|Familial_hypocalciuric_hypercalcemia_1|Neonatal_severe_primary_hyperparathyroidism|Epilepsy,_idiopathic_generalized,_susceptibility_to,_8|not_provided"
CAV3,HCM,2,2,"criteria_provided,_multiple_submitters,_no_conflicts","Elevated_circulating_creatine_kinase_activity|Distal_myopathy,_Tateyama_type|Long_QT_syndrome_9|Rippling_muscle_disease_2|Hypertrophic_cardiomyopathy_1|not_provided|Long_QT_syndrome | Hypertrophic_cardiomyopathy_1|Long_QT_syndrome_9|Rippling_muscle_disease_2|Distal_myopathy,_Tateyama_type|Elevated_circulating_creatine_kinase_activity|Long_QT_syndrome|not_provided"
COQ9,HCM,6,2,"criteria_provided,_multiple_submitters,_no_conflicts",Encephalopathy-hypertrophic_cardiomyopathy-renal_tubular_disease_syndrome|not_provided | not_provided|Encephalopathy-hypertrophic_cardiomyopathy-renal_tubular_disease_syndrome
FLNC,HCM,94,2,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiomyopathy|Myofibrillar_myopathy_5|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|not_provided|Hypertrophic_cardiomyopathy_26|Cardiovascular_phenotype | Cardiovascular_phenotype|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|Myofibrillar_myopathy_5|Hypertrophic_cardiomyopathy_26|not_provided | Cardiovascular_phenotype|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|Myofibrillar_myopathy_5|not_provided|Hypertrophic_cardiomyopathy_26|Cardiomyopathy
FLNC-AS1,HCM,33,2,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|Myofibrillar_myopathy_5|not_provided|Hypertrophic_cardiomyopathy_26|Cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_26 | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_26|Myofibrillar_myopathy_5|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|not_provided
GLA,HCM,8,2,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Hypertrophic_cardiomyopathy|Fabry_disease | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy|Fabry_disease|not_provided|Cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Fabry_disease|Hypertrophic_cardiomyopathy
JPH2,HCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy
KCNH2,HCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts",Congenital_long_QT_syndrome|not_provided|Long_QT_syndrome|Primary_familial_hypertrophic_cardiomyopathy
LAMP2,HCM,6,2,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Danon_disease|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Danon_disease|Hypertrophic_cardiomyopathy|not_provided | Cardiovascular_phenotype|not_provided|Danon_disease|Hypertrophic_cardiomyopathy
LOC112469007,HCM,1,2,"criteria_provided,_multiple_submitters,_no_conflicts",Encephalopathy-hypertrophic_cardiomyopathy-renal_tubular_disease_syndrome|not_provided
