dataset,contrast,gene_symbol,log2FC,SE,t_stat,p_value,FDR,mean_HCM,mean_Control,n_HCM,n_Control,abs_log2FC,direction
GSE141910,HCM_vs_Control,KDM4D,0.019447060660979565,0.09035475444573195,0.2152300759409366,0.8298163949479784,0.8900574113367279,7.702126998847082,7.682679938186101,28,166,0.019447060660979565,up_in_HCM
GSE141910,HCM_vs_Control,H3-3B,0.016492170617919855,0.0768033614587908,0.21473240629928425,0.8302038566531024,0.8903799721337913,15.490314679827636,15.47382250920972,28,166,0.016492170617919855,up_in_HCM
GSE141910,HCM_vs_Control,RPL27AP5,-0.05540195641692297,0.25801923144488803,-0.2147202598297663,0.8302133138320913,0.8903799721337913,5.007803116228646,5.06320507264557,28,166,0.05540195641692297,down_in_HCM
GSE141910,HCM_vs_Control,HNRNPLP2,-0.025740666036915882,0.11992718034916584,-0.21463579783975903,0.8302790761905392,0.8903989189315561,7.709555313398795,7.735295979435707,28,166,0.025740666036915882,down_in_HCM
GSE141910,HCM_vs_Control,ZNF879,-0.01792147799179178,0.08357253651970958,-0.21444219283167518,0.8304298221498438,0.8905089954506522,10.1158690819221,10.13379055991389,28,166,0.01792147799179178,down_in_HCM
GSE141910,HCM_vs_Control,KEAP1,-0.024656815281607736,0.11527888561753082,-0.21388839031124446,0.8308610620904195,0.8908843545519431,13.481255221948993,13.505912037230596,28,166,0.024656815281607736,down_in_HCM
GSE141910,HCM_vs_Control,LRATD1,0.047526787675022775,0.22225674698764336,0.21383732246231915,0.8309008306507533,0.8908843545519431,7.11592293861787,7.068396150942842,28,166,0.047526787675022775,up_in_HCM
GSE141910,HCM_vs_Control,RPS25,-0.018389443369913883,0.08600943374686332,-0.21380728332704002,0.8309242235212231,0.8908843545519431,15.774659836999234,15.793049280369152,28,166,0.018389443369913883,down_in_HCM
GSE141910,HCM_vs_Control,PRKAR1B-AS1,-0.03956118520032864,0.1851508465752173,-0.2136700205918689,0.8310311183122842,0.8909473646812206,6.692958345972165,6.732519531172496,28,166,0.03956118520032864,down_in_HCM
GSE141910,HCM_vs_Control,SRI,0.014238688111998687,0.06672292014242857,0.21340025408966504,0.8312412109773777,0.8911209994107472,13.793702333278043,13.77946364516604,28,166,0.014238688111998687,up_in_HCM
GSE141910,HCM_vs_Control,TOR2A,0.02755695741233133,0.1293083007380412,0.21311050609316645,0.8314668786586543,0.8912648232541815,9.661945874158818,9.634388916746492,28,166,0.02755695741233133,up_in_HCM
GSE141910,HCM_vs_Control,PCDHGA3,0.050948394070146785,0.23907718746875117,0.21310437273236724,0.8314716557242462,0.8912648232541815,8.979921808343658,8.928973414273518,28,166,0.050948394070146785,up_in_HCM
GSE141910,HCM_vs_Control,L3MBTL2-AS1,0.03796930444759733,0.17831015155326427,0.21293966785876042,0.8315999410804216,0.8913507242486015,8.088132800060874,8.050163495613276,28,166,0.03796930444759733,up_in_HCM
GSE141910,HCM_vs_Control,NDUFV2,0.02481559307192588,0.11661708926301041,0.2127955107502164,0.8317122259011633,0.891393303003867,7.034296711693782,7.009481118621852,28,166,0.02481559307192588,up_in_HCM
GSE141910,HCM_vs_Control,LYZ,-0.039201442717802126,0.18424758035782907,-0.2127650341006846,0.8317359647863015,0.891393303003867,12.62760978719327,12.666811229911076,28,166,0.039201442717802126,down_in_HCM
GSE141910,HCM_vs_Control,SLC46A2,-0.052027434346417545,0.24467742686528718,-0.21263683786842524,0.8318358211451007,0.8914487153029956,4.522481333351025,4.574508767697441,28,166,0.052027434346417545,down_in_HCM
GSE141910,HCM_vs_Control,H3P16,-0.027259561658119158,0.12825022022335986,-0.21254982338934048,0.8319036012093441,0.8914640774692302,8.443868645674618,8.471128207332738,28,166,0.027259561658119158,down_in_HCM
GSE141910,HCM_vs_Control,RWDD2A,-0.012614910514370525,0.05936573763826571,-0.2124947994622282,0.8319464628334624,0.8914640774692302,11.151091677596535,11.163706588110905,28,166,0.012614910514370525,down_in_HCM
GSE141910,HCM_vs_Control,APOBR,-0.047497926215571196,0.22367554182212712,-0.21235189966966903,0.8320577788906938,0.8915317548676591,8.443804986645478,8.491302912861045,28,166,0.047497926215571196,down_in_HCM
GSE141910,HCM_vs_Control,RPL15P5,0.053590462338998446,0.2524578931369139,0.21227485373148966,0.8321177975318296,0.8915444635515227,4.89566113386013,4.842070671521133,28,166,0.053590462338998446,up_in_HCM
GSE141910,HCM_vs_Control,WDFY1,-0.01907917546436505,0.08991608147164762,-0.21218868918771894,0.8321849207181073,0.891564782248514,12.743351642757535,12.762430818221898,28,166,0.01907917546436505,down_in_HCM
GSE141910,HCM_vs_Control,HNRNPA1P10,-0.027801327605095072,0.13109114144302134,-0.21207632566979287,0.8322724550641242,0.8916069649095614,8.24288775245466,8.270689080059757,28,166,0.027801327605095072,down_in_HCM
GSE141910,HCM_vs_Control,BAD,0.05320816235802717,0.2510185210756359,0.211969069573136,0.8323560125406446,0.8916448825462883,11.949430009991557,11.896221847633523,28,166,0.05320816235802717,up_in_HCM
GSE141910,HCM_vs_Control,SLC45A1,-0.038747335360067914,0.1828807857716215,-0.21187209578405325,0.8324315612658227,0.8916742170754022,8.170536907974984,8.209284243335047,28,166,0.038747335360067914,down_in_HCM
GSE141910,HCM_vs_Control,JUP,0.03253192199039767,0.15384066251687195,0.21146504089469742,0.8327486998214765,0.8919623165815201,14.700166103160734,14.667634181170339,28,166,0.03253192199039767,up_in_HCM
GSE141910,HCM_vs_Control,TPD52L2,-0.011138176511276243,0.05277933860806293,-0.21103289288992153,0.8330854185757867,0.8922713540117754,14.398488098049205,14.409626274560484,28,166,0.011138176511276243,down_in_HCM
GSE141910,HCM_vs_Control,ZNF10,-0.026155198643749877,0.12409196447499796,-0.21077270195863188,0.8332881676325337,0.8924166002644905,11.450496564453577,11.476651763097328,28,166,0.026155198643749877,down_in_HCM
GSE141910,HCM_vs_Control,SKI,0.019175125093550793,0.09099158942616599,0.2107351373294805,0.8333174401108544,0.8924166002644905,12.716592575734978,12.697417450641428,28,166,0.019175125093550793,up_in_HCM
GSE141910,HCM_vs_Control,VASN,0.05489114620490543,0.2606803155073068,0.21056881912269607,0.8334470474383332,0.8925037707789139,9.80268210474023,9.747790958535326,28,166,0.05489114620490543,up_in_HCM
GSE141910,HCM_vs_Control,PARS2,0.014332474104057968,0.06808558999000516,0.21050671817872105,0.8334954422118177,0.8925039690940703,9.976853784382822,9.962521310278763,28,166,0.014332474104057968,up_in_HCM
GSE141910,HCM_vs_Control,EML3,-0.016623372534163072,0.07906327546562021,-0.2102540330673697,0.8336923642714251,0.8926379783309291,12.110791679774605,12.127415052308775,28,166,0.016623372534163072,down_in_HCM
GSE141910,HCM_vs_Control,SCAMP3,0.02701148307665535,0.12849003889665103,0.2102223900669967,0.8337170249727269,0.8926379783309291,13.193623444223721,13.166611961147066,28,166,0.02701148307665535,up_in_HCM
GSE141910,HCM_vs_Control,PTMAP8,-0.04487948087436931,0.2137604506026736,-0.20995221870012276,0.8339275874238687,0.8927312951964245,4.584222959110093,4.629102439984462,28,166,0.04487948087436931,down_in_HCM
GSE141910,HCM_vs_Control,LTA4H,-0.008964405597368219,0.04271220708168796,-0.20987924085083248,0.8339844659579503,0.8927312951964245,13.668550557924792,13.677514963522164,28,166,0.008964405597368219,down_in_HCM
GSE141910,HCM_vs_Control,ZNF316,-0.04763174266276321,0.2269578240516925,-0.20987045880345803,0.8339913106963641,0.8927312951964245,9.74781622726941,9.795447969932171,28,166,0.04763174266276321,down_in_HCM
GSE141910,HCM_vs_Control,GALNT3,0.04928005727862289,0.234820053423595,0.20986306987046777,0.8339970696495522,0.8927312951964245,7.0845816107773425,7.03530155349872,28,166,0.04928005727862289,up_in_HCM
GSE141910,HCM_vs_Control,TIRAP,-0.01672738115570649,0.07981710761209079,-0.20957137706619433,0.8342244229312376,0.8929230308583488,10.21296488700577,10.229692268161477,28,166,0.01672738115570649,down_in_HCM
GSE141910,HCM_vs_Control,XRRA1,0.03437748182517625,0.1641019351731443,0.20948858274525825,0.8342889576159573,0.8929404794093899,10.542050033368366,10.507672551543191,28,166,0.03437748182517625,up_in_HCM
GSE141910,HCM_vs_Control,IL16,-0.020862417508336728,0.09966187227756985,-0.20933198455506113,0.8344110223827357,0.8929922864015345,10.986659544987289,11.007521962495625,28,166,0.020862417508336728,down_in_HCM
GSE141910,HCM_vs_Control,METTL25B,0.01782032470439937,0.08515428511919233,0.2092710270476215,0.8344585384761344,0.8929922864015345,11.489306455749078,11.47148613104468,28,166,0.01782032470439937,up_in_HCM
GSE141910,HCM_vs_Control,RAE1,-0.012577218145616909,0.060111714874511724,-0.20923073267619985,0.8344899480855942,0.8929922864015345,12.066438964902787,12.0790161830484,28,166,0.012577218145616909,down_in_HCM
GSE141910,HCM_vs_Control,GPR107,0.014072906039001964,0.06727687167026723,0.20917895986565965,0.8345303055708393,0.8929922864015345,13.707854748416226,13.693781842377227,28,166,0.014072906039001964,up_in_HCM
GSE141910,HCM_vs_Control,IFNAR2,-0.0117010376568068,0.056079535901463785,-0.2086507576911203,0.8349420701595167,0.8933812590950835,11.895027814869097,11.906728852525903,28,166,0.0117010376568068,down_in_HCM
GSE141910,HCM_vs_Control,EIF2S3,0.013551237660304749,0.0650350900971551,0.20836809236461004,0.8351624431092053,0.8935201158672452,14.411566789693262,14.398015552032959,28,166,0.013551237660304749,up_in_HCM
GSE141910,HCM_vs_Control,CSNK2B,0.036049460363352215,0.17301485955332296,0.2083604868184274,0.8351683727632913,0.8935201158672452,11.655332366494775,11.619282906131422,28,166,0.036049460363352215,up_in_HCM
GSE141910,HCM_vs_Control,ZNF143-AS1,0.02582616104117505,0.12437286003989874,0.207651098743649,0.8357214877174443,0.8940602081544666,6.6326422819785575,6.606816120937383,28,166,0.02582616104117505,up_in_HCM
GSE141910,HCM_vs_Control,LINC02701,0.05564284128423014,0.26804737152271985,0.20758584935242994,0.8357723672508458,0.8940629743970246,7.241346939171443,7.185704097887209,28,166,0.05564284128423014,up_in_HCM
