dataset,contrast,gene_symbol,log2FC,SE,t_stat,p_value,FDR,mean_DCM,mean_Control,n_DCM,n_Control,abs_log2FC,direction
GSE141910,DCM_vs_Control,FDPS,-0.09149843514885347,0.03610653028601632,-2.5341242823404126,0.011734906058099502,0.019596636826050524,13.667356875123945,13.758855310272796,166,166,0.09149843514885347,down_in_DCM
GSE141910,DCM_vs_Control,TCP11L2,-0.3443290387910083,0.13590332790693221,-2.533632134650947,0.011751076038480267,0.01962186982054525,11.666614108943197,12.010943147734201,166,166,0.3443290387910083,down_in_DCM
GSE141910,DCM_vs_Control,LMO4,-0.0964090710125518,0.03805818034880649,-2.533202326778485,0.01176521402190999,0.019643705554439003,12.81571524003462,12.91212431104717,166,166,0.0964090710125518,down_in_DCM
GSE141910,DCM_vs_Control,DGKQ,0.22322726604731447,0.08812225398766965,2.533154293562999,0.011766794954572954,0.01964457345062757,10.223735595039676,10.000508328992353,166,166,0.22322726604731447,up_in_DCM
GSE141910,DCM_vs_Control,NFKBID,0.2192620007714874,0.08656137623604777,2.5330235066223166,0.011771100546566039,0.019649989577869887,8.95700105232373,8.737739051552246,166,166,0.2192620007714874,up_in_DCM
GSE141910,DCM_vs_Control,RPL35P5,0.3447396416849098,0.13618304236856876,2.5314432376381992,0.011823235094507313,0.019735240402543854,9.235434141119985,8.890694499435075,166,166,0.3447396416849098,up_in_DCM
GSE141910,DCM_vs_Control,COX6A1P2,0.24742389156858913,0.09775434106702259,2.5310783016679506,0.011835303871031193,0.019753604450450817,8.128818553145713,7.881394661577131,166,166,0.24742389156858913,up_in_DCM
GSE141910,DCM_vs_Control,RPL21P120,0.32194032842625986,0.1271983160952491,2.5310109308772875,0.011837533086236147,0.01975554403907778,6.045220448154058,5.723280119727797,166,166,0.32194032842625986,up_in_DCM
GSE141910,DCM_vs_Control,SMIM14,-0.14917782787470912,0.05894106396062384,-2.5309659828056184,0.011839020569731327,0.01975624552077123,12.631489574134942,12.780667402009646,166,166,0.14917782787470912,down_in_DCM
GSE141910,DCM_vs_Control,PORCN-DT,-0.265733691153178,0.10499944232145274,-2.5308105003038213,0.011844167295125775,0.019763052648459983,5.048282843323108,5.314016534476284,166,166,0.265733691153178,down_in_DCM
GSE141910,DCM_vs_Control,PCDH18,-0.22379637746746628,0.08843475429757741,-2.5306383134667336,0.011849869287154906,0.019770784977748628,10.95660601925703,11.180402396724494,166,166,0.22379637746746628,down_in_DCM
GSE141910,DCM_vs_Control,MLPH,-0.22539383951190928,0.08910475856946842,-2.5295376266149274,0.01188637650370961,0.019829907922247092,12.48258097773093,12.707974817242839,166,166,0.22539383951190928,down_in_DCM
GSE141910,DCM_vs_Control,LINC02363,-0.22963557083091146,0.09078402683464808,-2.5294710847004436,0.011888586751837203,0.019831808121892426,6.464142428981364,6.693777999812272,166,166,0.22963557083091146,down_in_DCM
GSE141910,DCM_vs_Control,COLEC12,0.1882375332145374,0.07441958233783821,2.529408622047978,0.011890661836798514,0.019833482528574725,12.243839159851152,12.05560162663661,166,166,0.1882375332145374,up_in_DCM
GSE141910,DCM_vs_Control,TEAD3,0.10000983166276001,0.0395399983697817,2.5293332267608832,0.011893166989271708,0.019835873916431275,12.94040097134515,12.84039113968239,166,166,0.10000983166276001,up_in_DCM
GSE141910,DCM_vs_Control,NDUFB4P12,0.2895026303676276,0.11446237251906496,2.5292384212934933,0.011896317749313691,0.019839341545180106,7.018487299735582,6.728984669367952,166,166,0.2895026303676276,up_in_DCM
GSE141910,DCM_vs_Control,MICU3,-0.3180194131985852,0.1257419716130435,-2.5291428877642654,0.011899493457785673,0.019842850151683137,11.17646848588532,11.4944878990839,166,166,0.3180194131985852,down_in_DCM
GSE141910,DCM_vs_Control,KLKB1,0.28123990885572203,0.11120471871378265,2.529028553002089,0.011903295146106031,0.019847401876957663,9.706812941716931,9.425573032861202,166,166,0.28123990885572203,up_in_DCM
GSE141910,DCM_vs_Control,PPM1N,0.23145429806541573,0.09152542121037098,2.528852585484622,0.011909148268317727,0.019855373008948678,6.857203015964801,6.62574871789938,166,166,0.23145429806541573,up_in_DCM
GSE141910,DCM_vs_Control,LIG3,0.09431991520215366,0.03730220739911433,2.5285344160193883,0.011919737893323843,0.01987123886709629,11.568080587198578,11.473760671996429,166,166,0.09431991520215366,up_in_DCM
GSE141910,DCM_vs_Control,SLC75A1,0.3429958533970865,0.13567027152026348,2.5281577869169167,0.011932284068092956,0.019890363312858355,11.152144068751515,10.80914821535443,166,166,0.3429958533970865,up_in_DCM
GSE141910,DCM_vs_Control,CYP2E1,-0.21609166176267625,0.08548826489854261,-2.5277347951690636,0.01194638868504182,0.019912081905661225,7.880763983887848,8.096855645650521,166,166,0.21609166176267625,down_in_DCM
GSE141910,DCM_vs_Control,SNRPN,0.21944523188951193,0.0868165231103696,2.5276897072983657,0.011947893010924537,0.019912796481026823,11.085265275640875,10.865820043751361,166,166,0.21944523188951193,up_in_DCM
GSE141910,DCM_vs_Control,OVGP1,-0.1428115103202976,0.056506683144600986,-2.5273384026955177,0.01195961982754109,0.0199305324683909,9.082151065554786,9.22496257587509,166,166,0.1428115103202976,down_in_DCM
GSE141910,DCM_vs_Control,RPS15,0.28396793134191967,0.1123599137261928,2.5273064202764908,0.011960687934090795,0.0199305324683909,14.477694179038863,14.193726247696945,166,166,0.28396793134191967,up_in_DCM
GSE141910,DCM_vs_Control,SNX8,0.1711236838345105,0.06772126423464134,2.526882593945668,0.011974850350252177,0.019952335931438987,11.427523061853163,11.256399378018665,166,166,0.1711236838345105,up_in_DCM
GSE141910,DCM_vs_Control,PLS3,0.1536923933814176,0.060825318348902195,2.526783213855411,0.011978173357491389,0.019956076616922072,14.468570361761374,14.314877968379951,166,166,0.1536923933814176,up_in_DCM
GSE141910,DCM_vs_Control,RPP14,-0.11856286238872915,0.04692795448911453,-2.5264869027315298,0.011988086092435358,0.01997079436959019,13.254196587206591,13.372759449595318,166,166,0.11856286238872915,down_in_DCM
GSE141910,DCM_vs_Control,BSG-AS1,-0.30618589729498646,0.12122820168658385,-2.5256985836231505,0.01201449394834976,0.020012986005560472,4.71202938137142,5.018215278666405,166,166,0.30618589729498646,down_in_DCM
GSE141910,DCM_vs_Control,ABTB3,0.24566931239886358,0.09730152332809112,2.5248249358901704,0.01204382072795673,0.02006003177117975,8.038109243442129,7.792439931043265,166,166,0.24566931239886358,up_in_DCM
GSE141910,DCM_vs_Control,NDUFA3,0.29716810944041416,0.11771298522509364,2.52451425704787,0.01205426501051901,0.02007562145913444,13.811141141682263,13.513973032241854,166,166,0.29716810944041416,up_in_DCM
GSE141910,DCM_vs_Control,EID1,-0.18481749080521936,0.0732421952664371,-2.523374540220958,0.01209264866669014,0.020137735429201633,15.556425334941258,15.741242825746474,166,166,0.18481749080521936,down_in_DCM
GSE141910,DCM_vs_Control,NCAPD2,-0.10569492681746073,0.041890660129875655,-2.5231143765643607,0.012101425761121939,0.02015053922608837,11.823350425520971,11.92904535233844,166,166,0.10569492681746073,down_in_DCM
