"feature_id","ensembl_gene_id","gene_symbol","cohort","disease","comparison","model","n_hcm","n_control","n_samples_model","mean_expression_hcm","mean_expression_control","log2FC","SE","moderated_t","p_value","FDR","B_statistic","average_expression","abs_log2FC"
"ENSG00000151576","ENSG00000151576","QTRT2","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,10.8150684368397,10.2072793697594,-0.254074824266279,0.135363471092687,-1.87698218888245,0.0620312586044249,0.139344026057567,-5.224805520906,10.9037849021979,0.254074824266279
"ENSG00000165997","ENSG00000165997","ARL5B","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,10.6700587138971,10.7117742838479,-0.26745780117912,0.142538244570182,-1.87639325842428,0.0621124721667605,0.139511379604134,-5.22588683051771,12.1925981196327,0.26745780117912
"ENSG00000128641","ENSG00000128641","MYO1B","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,10.779959578202,10.4361729543747,-0.209985864746912,0.111940066550866,-1.87587761216394,0.0621836526122834,0.139656163939896,-5.22683331766305,13.4185254125049,0.209985864746912
"ENSG00000110768","ENSG00000110768","GTF2H1","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,12.2113489545048,12.2228357740406,-0.109959576711516,0.0586249146130303,-1.87564583142397,0.0622156700613382,0.139712971638715,-5.22725867781796,13.0625327304731,0.109959576711516
"ENSG00000125166","ENSG00000125166","GOT2","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,13.0442974363682,13.1985909076671,0.144831550055597,0.0772233038300916,1.87549020661248,0.062237175285978,0.13973798141512,-5.22754424945464,16.6121031860965,0.144831550055597
"ENSG00000268211","ENSG00000268211","ENSG00000268211","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,5.5864990877883,4.16918106174571,0.428668603414541,0.228566215053329,1.87546791775208,0.0622402558095542,0.13973798141512,-5.2275851476592,4.80056721459231,0.428668603414541
"ENSG00000267348","ENSG00000267348","ENSG00000267348","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,10.6530835735832,10.742939288376,0.416986369405142,0.222347047734908,1.87538523067008,0.0622516850282295,0.139748543434335,-5.22773686748288,5.23108314943004,0.416986369405142
"ENSG00000197021","ENSG00000197021","EOLA2","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,9.86060949016679,10.1499609509262,-0.119674216526192,0.0638163532391114,-1.87529074370308,0.0622647473991179,0.139755492821406,-5.22791023063664,12.0910838257246,0.119674216526192
"ENSG00000167216","ENSG00000167216","KATNAL2","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,11.6391307260885,11.6099003086924,0.235536901177921,0.125601892190443,1.87526554791699,0.0622682309818294,0.139755492821406,-5.22795645803426,9.19916389805066,0.235536901177921
"ENSG00000109323","ENSG00000109323","MANBA","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,8.78738259005796,8.43533025447372,0.11417742753662,0.0608906466415796,1.87512259819973,0.0622879983616456,0.139784761766021,-5.22821872045572,12.2459181802037,0.11417742753662
"ENSG00000218510","ENSG00000218510","LINC00339","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,9.57945888787792,10.4006608888327,0.243321564095084,0.129785080520675,1.87480381503729,0.0623320991931283,0.13986862685805,-5.22880350596357,10.9387042558627,0.243321564095084
"ENSG00000260336","ENSG00000260336","ENSG00000260336","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,4.78551335571334,4.46042521506371,-0.114685912233735,0.0611816229489882,-1.87451569124535,0.0623719809642131,0.139943007602819,-5.22933196654038,12.8608109453734,0.114685912233735
"ENSG00000138769","ENSG00000138769","CDKL2","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,13.5274053919231,13.4118473261016,0.501278258750794,0.267426488471988,1.87445253316147,0.0623807260770489,0.139947519011892,-5.22944779711113,5.06014098796466,0.501278258750794
"ENSG00000213433","ENSG00000213433","ENSG00000213433","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,11.583732917979,11.7200482614178,0.471031640332479,0.251304082696243,1.87434933519097,0.0623950174671291,0.13996447085324,-5.22963705187995,6.70038114848028,0.471031640332479
"ENSG00000185163","ENSG00000185163","DDX51","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,10.8096051736626,10.7573116869801,0.155486199770672,0.0829619554661794,1.87418677509425,0.0624175351680706,0.139999870299803,-5.22993515048734,11.5882918700852,0.155486199770672
"ENSG00000271320","ENSG00000271320","ENSG00000271320","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,10.2550485320837,10.4234831353683,0.541257680382325,0.288943880613669,1.87322769817026,0.0625505236926506,0.140283016712386,-5.23169337431975,4.85346728913209,0.541257680382325
"ENSG00000173905","ENSG00000173905","GOLIM4","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,13.9792810467423,13.932652127716,0.217109291185323,0.115905462681114,1.87315840136584,0.0625601417397833,0.140287096223939,-5.2318203787977,14.1585777417229,0.217109291185323
"ENSG00000172985","ENSG00000172985","SH3RF3","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,12.4153355530141,12.2610776869906,-0.197970520644916,0.105690400972709,-1.87311732023833,0.0625658441751343,0.140287096223939,-5.23189566854621,11.8620759736513,0.197970520644916
"ENSG00000107890","ENSG00000107890","ANKRD26","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,10.7987989889623,9.88464182509654,-0.274550974594168,0.146587748150986,-1.87294625954264,0.0625895936184173,0.140325207140396,-5.23220915589504,12.1778717327739,0.274550974594168
"ENSG00000168300","ENSG00000168300","PCMTD1","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,15.4055193674833,15.3573736677286,-0.209935076973333,0.112115343541068,-1.87249193859387,0.062652706361607,0.140451552416457,-5.23304161451278,14.457322805207,0.209935076973333
"ENSG00000164649","ENSG00000164649","CDCA7L","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,8.37883997576528,8.01344756896014,0.199051522398185,0.106319285984622,1.87220522179744,0.0626925633880049,0.140525742613108,-5.23356686950672,12.5548716724983,0.199051522398185
"ENSG00000119812","ENSG00000119812","FAM98A","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,12.426899415347,12.6212605648184,-0.111081441901987,0.0593342713331604,-1.8721295367102,0.062703088034732,0.1405341751995,-5.2337055089652,14.0315337366401,0.111081441901987
"ENSG00000155115","ENSG00000155115","GTF3C6","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,12.4901635872319,12.5191115737368,-0.201709844768395,0.107746716846581,-1.87207416310984,0.0627107891313539,0.140536278328337,-5.23380693854957,13.9632669898302,0.201709844768395
"ENSG00000132394","ENSG00000132394","EEFSEC","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,11.6180541504816,11.2678944487954,0.249700940931292,0.133392985049709,1.87191958286443,0.0627322915871237,0.140569306822516,-5.23409007279453,11.7342038239384,0.249700940931292
"ENSG00000172236","ENSG00000172236","TPSAB1","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,11.4484915403811,11.5460962069453,0.585163467611909,0.312610909857373,1.87185875207902,0.0627407549690212,0.140573113640025,-5.23420148627567,8.91393056241433,0.585163467611909
"ENSG00000141446","ENSG00000141446","ESCO1","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,12.4794213586429,12.0450929791242,-0.153392275012416,0.0819522391245906,-1.87172768738163,0.0627589932225241,0.140598818257576,-5.23444152349651,11.7420028180654,0.153392275012416
"ENSG00000125449","ENSG00000125449","ARMC7","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,11.3350066072641,11.3666466073645,0.257067346944444,0.137356940442132,1.87152790472023,0.062786802395123,0.140642772031306,-5.23480738242157,10.2162905392375,0.257067346944444
"ENSG00000114744","ENSG00000114744","COMMD2","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,11.1383405122336,11.3721208941307,-0.157800802358104,0.0843182939798115,-1.87148950613121,0.0627921485446543,0.140642772031306,-5.23487769685575,12.3617253593383,0.157800802358104
"ENSG00000251580","ENSG00000251580","LINC02482","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,14.6194448425082,14.8785600590111,0.295737273428748,0.1580382120855,1.87130232319226,0.0628182150374874,0.140685992746419,-5.23522044116275,8.97469640152347,0.295737273428748
"ENSG00000012822","ENSG00000012822","CALCOCO1","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,9.72570415479407,9.06750363327808,-0.171924878403503,0.0918853078624083,-1.87108126862837,0.0628490099942071,0.140735914662216,-5.23562516408934,15.1599408894118,0.171924878403503
"ENSG00000221838","ENSG00000221838","AP4M1","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,10.8568248887507,11.1488903379,0.186992363045677,0.0999400621361917,1.87104509491756,0.0628540505259625,0.140735914662216,-5.23569138918684,11.1033487119073,0.186992363045677
"ENSG00000107625","ENSG00000107625","DDX50","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,14.1327469697624,14.5032160627674,0.0921261311644944,0.0492444311223472,1.87079288083576,0.0628892040039922,0.140799455764594,-5.23615309634613,12.8086378255259,0.0921261311644944
"ENSG00000073578","ENSG00000073578","SDHA","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,8.85436943188078,5.49891745141628,0.191392041672194,0.102333402916421,1.87027926578881,0.0629608420698857,0.140943212259821,-5.23709314280997,16.6385560050361,0.191392041672194
"ENSG00000128039","ENSG00000128039","SRD5A3","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,13.4696585554146,13.326125242642,-0.170846203745509,0.0913501121919425,-1.87023529195598,0.0629669786160523,0.140943212259821,-5.23717361456941,11.1638652763736,0.170846203745509
"ENSG00000153406","ENSG00000153406","NMRAL1","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,11.9090163082723,11.8975767610889,-0.359282989006538,0.192166877151247,-1.86964056622391,0.063050021514173,0.141111786660339,-5.23826177870683,11.2722707724203,0.359282989006538
"ENSG00000197562","ENSG00000197562","RAB40C","GSE141910","HCM","HCM_vs_Control","limma_adjusted_age_sex",28,166,194,13.2832378499868,13.1993249657527,0.33220378272141,0.177687213132418,1.86959870023873,0.0630558707919689,0.141111786660339,-5.23833836794002,10.7294794471381,0.33220378272141
