"mean_normalized_count","log2FC","SE","test_stat","p_value","FDR","gene_symbol","feature_id","cohort","disease","comparison","model","n_hcm","n_control","abs_log2FC"
94.6840471244907,-3.2122014391635,0.202170872697778,-15.8885471299586,7.60702903486519e-57,7.86812190238443e-54,"LILRA6","LILRA6","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.2122014391635
510.653052592948,-3.18616257400998,0.200981823028812,-15.8529887230311,1.34050964659132e-56,1.3431906658845e-53,"RP11-343H19.2","RP11-343H19.2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.18616257400998
1185.55155950226,-4.1325889665911,0.26331707295918,-15.6943449209301,1.65340629751937e-55,1.60650968253518e-52,"TUBA3D","TUBA3D","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,4.1325889665911
391.411393883006,-2.32161462433797,0.148683749695988,-15.6144476385949,5.80456285853055e-55,5.47404422046834e-52,"FCER1G","FCER1G","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.32161462433797
481.914219564487,-3.25857525563731,0.20895719009221,-15.5944634123351,7.93876437746113e-55,7.27281545711182e-52,"MYC","MYC","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.25857525563731
511.669797353202,-2.45392418073213,0.157643446906755,-15.5662936131028,1.23350796880004e-54,1.0986444308779e-51,"IFI30","IFI30","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.45392418073213
289.74159153254,-4.15836880754278,0.267393733398303,-15.5514819090715,1.55466490561743e-54,1.34726420361398e-51,"SLCO4A1","SLCO4A1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,4.15836880754278
23.6198865803618,-3.71257729256973,0.238763243016838,-15.5491994733374,1.61106953920796e-54,1.35940351855695e-51,"C11orf91","C11orf91","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.71257729256973
200.280792026521,-2.62924485111784,0.169293049489288,-15.5307312323191,2.1491510089952e-54,1.76693276801082e-51,"TLR2","TLR2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.62924485111784
200.916309572968,-2.12898439320399,0.13718954983699,-15.5185609671704,2.59812362455044e-54,2.08265589743963e-51,"IL15RA","IL15RA","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.12898439320399
2432.75794112968,-3.11039864804811,0.201158745736035,-15.4624082421435,6.22278656244442e-54,4.78794837143234e-51,"LMCD1","LMCD1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.11039864804811
87.5944898626682,-3.14965759602911,0.203704374091416,-15.4619045863769,6.27163895958578e-54,4.78794837143234e-51,"HK3","HK3","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,3.14965759602911
1676.67177711219,-2.44602964638186,0.158315207992891,-15.4503769877351,7.50034946157372e-54,5.59281872409069e-51,"ELL2","ELL2","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.44602964638186
239.526178159772,-2.81300973213849,0.18248835648524,-15.4147354182896,1.30303420912636e-53,9.49556565486988e-51,"FGR","FGR","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,2.81300973213849
52.5538941476549,-6.24474547145174,0.406613190680328,-15.3579510320442,3.13321503001272e-53,2.23252014938507e-50,"CTB-178M22.1","CTB-178M22.1","GSE249925","HCM","HCM_vs_Control","DESeq2_disease_only",97,23,6.24474547145174
